object_id 公告唯一id
s_info_windcode 股票代码
n_info_stockid 证券id
n_info_companyid 公司id
ann_dt 公告日期
n_info_title 标题
n_info_fcode 类型代码 
n_info_annlink 公告下载链接
id 公告id
collect_dt 收录时间
n_info_windlink wind html链接





fcode  name
5107000000	利润分配
5203000000	质押冻结
5219000000	回购股权
5230000000	权益变动
5404000000	补充更正
5406000000	业绩预告
5502010000	特别处理
5502040000	终止上市
5506010000	股东大会
5506040000	风险提示
5506050000	重大合同
5506100000	澄清公告
5506140000	停牌提示
5506160000	中介公告
5506170000	法律纠纷
5506180000	公司资料变更
5506190000	个股其他公告
5506200000	其他补充更正
5506220000	员工持股
5507040000	关联交易
5507060000	违纪违规
5507200000	股份增减持
5507210000	资金投向
5507220000	资产重组
5507230000	收购兼并
5507240000	借贷担保
5507260000	政策影响
5507270000	人事变动
5508000000	函件
