session_id,question,think_flag
1,今天市场上有哪些涨停的股票,False
1,今天跑赢大盘了吗,False
1,今天跑赢大盘了吗,False
1,今天自选股涨最多？,False
1,跌最狠的是哪一只,False
1,今天自选股涨最多？,True
1,请告诉关于东吴证券的最新研报,False
1,市场最新研报有哪些？,False
1,市场最新研报有哪些？,True
1,跌最狠的是哪一只,True
1,告诉我今天市场整体状况如何？,False
1,今天自选股涨最多？,False
2,东吴证券股价波动怎么样,False
2,海通证券股价是多少？近期表现怎样,False
2,推买入哪些证券股票,False
2,中国重工今天的股价是多少？,False
2,中国重工是退市了？,False
2,600571适合买入吗,False
2,今天证券板块的表现如何？,False
2,汤姆猫是哪个板块，近期表现如何,False
2,证券板块的龙头股票是哪些,False
2,长江证券股价波动怎么样,False
2,自选股今日表现如何？,True
2,亚星锚链今天表现如何,False
2,我的持仓股今日表现怎样？,True
2,亨迪药业表现如何 明天趋势,True
2,我的持仓股今日涨跌情况？,False
2,天汽模市场表现,False
2,今天哪只自选股涨幅最高,False
2,今天自选股表现如何,False
2,自选股明天趋势,False
2,今天自选股表现？,False
2,自选股今天涨跌情况？,False
2,哪些自选股值得关注,False
3,金奥博当日主力资金动向？,False
3,联得装备3月23日主力资金流向,False
3,联得装备3月24日主力资金流向,False
3,联得装备3月26日主力资金流向,False
3,联得装备3月25日主力资金流向,False
3,联得装备3月27日主力资金流向,False
3,联得装备3月30日主力资金流向,False
3,联得装备3月31日主力资金流向,False
3,联得装备4月3日主力资金流向,False
3,联得装备4月1日主力资金流向,False
3,联得装备4月7日主力资金流向,False
3,联得装备4月2日主力资金流向,False
3,联得装备4月9日主力资金流向,False
3,联得装备4月8日主力资金流向,False
3,联得装备4月10日主力资金流向,False
3,联得装备当日主力资金动向？,False
3,金奥博3月24日主力资金流向,False
3,金奥博3月23日主力资金流向,False
3,金奥博3月26日主力资金流向,False
3,金奥博3月25日主力资金流向,False
3,金奥博3月27日主力资金流向,False
3,金奥博3月30日主力资金流向,False
3,金奥博3月31日主力资金流向,False
3,金奥博4月1日主力资金流向,False
3,金奥博4月2日主力资金流向,False
3,金奥博4月8日主力资金流向,False
3,金奥博4月9日主力资金流向,False
3,金奥博4月3日主力资金流向,False
3,金奥博4月7日主力资金流向,False
3,金奥博4月10日主力资金流向,False
3,金奥博3月22日主力资金流向,False
4,AI行业近期有哪些新政策？,False
4,苏州对人工智能产业有什么政策扶持,False
4,哪些城市对人工智能产业有明确的政策扶持,False
4,下周有哪些重要财经事件,False
4,今天A股涨停股票有几只？,False
4,今天有多少涨停股票,False
4,今天有多少涨停股票,False
4,昨天有多少涨停股票,False
4,下周有哪些重要财经事件,False
4,最近有哪些重要财经事件,False
4,苏州的OPC，一人公司会对市场有什么影响,False
4,最近ai、人工智能行业有什么消息和政策？分析下对市场可能的影响,False
4,主板涨停股中沪市有多少只？,False
4,最近有什么利好利空,False
4,我的自选股有什么利好消息,False
4,今天市场涨停情况怎么样,False
4,近一个月工业富联最低收盘价,False
4,工业富联主力资金动向,False
4,今天自选股的成交额如何？,False
4,8.1号工业富联收盘价,False
4,9.1号工业富联收盘价,False
4,今天自选股的成交量如何？,False
4,今日自选股资金净流入有哪些,False
4,近一个月工业富联最低价,False
4,自选股资金流入和前五名涨跌幅,False
4,今天自选股的涨跌幅如何？,False
5,贵州茅台沪深港通最新持股数量是多少？,False
5,伊利股份的存货周转天数比双汇发展低多少？,False
5,中兴通讯的近一月涨跌幅,False
5,万科A的近三年营业收入复合增长率是多少,False
5,恒生电子今天的换手率是多少？,False
5,平安集团的高管薪酬,False
5,恒生电子股息率,False
5,今年以来，贵州茅台的最高价是多少？,False
5,中兴通讯2024财年第1季度销售毛利率是多少,False
5,中信证券最近三年合并口径的年末总资产是多少,False
5,贵州茅台最新年化总资产报酬率如何,False
5,贵州茅台最新加权净资产收益率如何,False
5,贵州茅台最近一个报告期每股净资产同比增长率是多少,False
5,波长光电的首发价格是多少？,False
5,恒生电子今天的主力净买入额是多少？,False
5,贵州茅台最新季度毛利率与五粮液相比高多少,False
5,太平洋保险最新净利润,False
5,伊利股份的最近季度营收增长率是多少,False
5,中国石化的上市日期比中国石油早几年？,False
5,贵州茅台的上市日期,False
5,贵州茅台最近一个报告期基本每股收益是多少,False
5,中信证券最近一个报告期资产周转率是多少,False
5,中兴通讯披露的2024财年第1季度净资产是多少,False
5,2025年3月18日，贵州茅台的融券卖出量是多少？,False
5,昨天贵州茅台的融资买入额是多少？,False
5,贵州茅台近一年的最高价是多少？,False
5,比亚迪今天的换手率是多少？,False
5,贵州茅台市盈率如何？,False
5,中信证券最新营业收入同比增长率,False
5,比亚迪所属申万行业的整体净利润增速水平？,False
5,寒武纪所在中信行业的最新季度营收总额？,False
5,平安银行昨天的股价,False
5,中信证券今年上半年营业收入是多少,False
5,投资宁德时代的基金中，规模最大的前5支？,False
5,投资贵州茅台占比最高的前10支基金？,False
5,华林证券近5个月收益率如何？,False
5,华林证券收盘价超过16块钱的次数,False
5,中信证券今年上半年合并口径营业成本是多少,False
6,融资融券的交易规则是什么？,False
6,融资融券的风险有哪些？,False
6,融资融券怎么操作？,False
6,融资融券的交易规则,False
6,强制平仓会带来哪些影响？,False
6,融资融券的交易规则是什么？,False
6,融资融券如何进行交易？,False
6,什么是融资融券？有哪些注意事项？,False
6,融资融券的保证金比例是多少？,False
6,融资融券的交易规则有哪些？,False
6,自选股的整体市盈率是多少？,False
6,自选股pettm＜10的股票,False
6,自选股美股净资产排序？,False
6,自选股eps？？,False
6,688001卖盘,False
6,自选股近一年涨跌幅排序,False
6,自选股静态pe排序,False
6,我的自选股中市盈率最低的股票有哪些？,False
6,自选股股息率排序？,False
6,自选股pettm大于10的股票,False
6,长江传媒是否注册制？,False
6,002392内盘,False
6,市销率排序,False
6,自选股息率大于2%的股票,False
6,自选股pb排序,False
6,东吴证券的量比是多少？,False
6,自选股中分红较高的股票有哪些？,False
6,万科量比,False
6,万科a量比,False
7,如何查询预留手机号码,False
7,如何解绑主银行卡,False
7,如何开通OTC账户,False
7,如何修改基金分红方式,False
7,如何操作担保证券划转,False
7,查询上市公司可转债信息公告路径如何签署融资融券业务合同变更确认书,False
7,申购可转债是否支持撤单,False
7,如何设置天添利余额自动委托的保留金额,False
7,如何进行大宗交易,False
7,如何进行大宗交易,False
7,如何设置复权行情,False
7,如何申购北交所新股,False
7,如何设置软件登录时长,False
7,如何开通国债逆回购权限,False
7,多个账户是否可同时开通创业板权限,False
7,担保证券划转是否支持撤单,False
7,如何开通Level2,False
7,如何查询A股交易记录,False
7,如何开通国债逆回购权限,False
7,北交所大宗交易如何操作,False
7,担保证券划转是否支持撤单,False
7,如何更新个人信息,False
7,如何查询国债逆回购的成交记录,False
7,如何关闭天添利余额自动委托,False
7,如何更新身份证信息,False
7,如何更新身份证信息,False
7,如何更新风险测评,False
7,如何更新风险测评,False
7,如何添加联系人,False
7,如何找回账号和密码,False
7,如何修改账户预留手机号码,False
7,A股交易的委托方式,False
7,如何行使现金选择权,False
7,如何操作可转债转股,False
7,如何操作担保证券划转,False
7,配股缴款操作流程,False
7,如何查询股东账号,False
7,如何查询B股持仓,False
7,如何查看账户信息,False
8,今天有哪些个股涨停了？,False
8,我的自选股涨停数量，占全市场当日涨停百分比是多少？,False
8,我的自选有涨停吗？,False
8,今天涨停股票，哪些板块是受政策影响的,False
8,今日涨停股中哪些受益于碳达峰政策？,False
8,我的自选有涨停吗？,False
8,我的自选股涨停数量，占全市场当日涨停百分比是多少？,False
8,全市场涨停数量前三的板块是什么,False
8,今天涨停最多的板块是什么？,False
8,找出一些最近涨停个股，并分析原因,False
8,今天主板涨停股有哪些？,False
8,推荐几只涨停股票,False
8,今日涨停的个股有哪些？,False
8,涨停的个股有哪些？,False
8,今日市场有哪些股票涨停,False
8,今天有什么热点信息,False
8,今日市场有哪些股票涨停,False
8,创业板涨停股是哪些？,False
8,这些涨停股明天会继续涨吗？,False
8,平安银行市盈率,False
8,118027怎么样,False
8,分析300560,False
8,000851怎么样,False
8,分析601138,False
8,今天市场上有哪些异动股票,False
8,分析一下300418最近的股价走势,False
8,688041最近有什么资讯,False
8,600083怎么样,False
8,920100这只股票基本面怎么样,False
8,平安银行的最新换手率？,False
8,920022开盘价,False
8,118027怎么样,False
9,东吴证券今日成交量,False
9,东吴证券总市值,False
9,最近有哪些利好事件,False
9,东吴证券的最新公告内容？,False
9,帮我分析一下东吴证券三季报,False
9,黄金板块还可以买吗？,False
9,上海机电还可以买入吗？,False
9,帮我买入100手贵州茅台,False
9,按买一价买入,False
9,介绍一下汽车产业链,False
9,帮我分析一下云计算板块,False
9,002094上龙虎榜了吗,True
9,周杰伦炒股吗？,True
9,今天的龙虎榜上还有哪些股票？,True
9,002094后续会有上榜机会吗？,True
9,哪个概念股跌幅最大,True
9,青岛金王的市场表现如何？,True
9,放量上涨的有哪些,True
9,青岛金王的换手率是多少？,True
9,我的自选股中有哪些放量上涨的股票？,True
9,自选股异动,False
9,哪个概念股涨的最好？哪个涨的最差？,False
9,自选股异动,True
9,宁德时代今天怎么样？,True
9,有哪些股票可以购买？,False
9,广发聚鑫的最新披露规模,False
9,宁德时代最新收入,False
9,摩根双债增利的分红发放日,False
9,食品饮料行业下最新营收同比增速最大的个股,False
9,波长光电的首发价格是多少,False
9,比亚迪今天的换手率是多少？,False
9,贵州茅台上市日期,False
9,贵州茅台最近一个报告期每股净资产相对年初增长率是多少,False
9,贵州茅台市盈率如何,False
9,中信证券今年上半年营业收入是多少,False
9,宁德时代上市日期,False
9,沪深两市的最新个股数量,False
9,美的集团昨天涨停了吗,False
10,300285,False
10,300115,False
10,利亚德近期的主力资金动向是什么？,False
10,300296,False
10,300296,False
10,300258,False
10,300296,False
10,300342,False
10,300433,False
10,300017,False
10,贵州茅台最近有分红吗,False
10,奥瑞德股东增减持,False
10,中远海控毛利率,False
